2020-04-26 12:04:398 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 12:04:130 INFO  HomePage :26 - clicking on login or register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
2020-04-26 12:04:164 INFO  LoginPage :21 - Get Welcome Guest text [[ChromeDriver: chrome on WINDOWS (bad5107a83f8542e87f30e21fdc059dd)] -> xpath: //li[@class='navbar-text myprofile_salutation']]
2020-04-26 12:04:513 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 12:04:394 INFO  HomePage :26 - clicking on login or register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
2020-04-26 12:04:435 INFO  LoginPage :21 - Get Welcome Guest text [[ChromeDriver: chrome on WINDOWS (879d51096152a4498ec0129d99d305b0)] -> xpath: //li[@class='navbar-text myprofile_salutation']]
2020-04-26 12:04:253 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 12:04:791 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 12:04:500 INFO  HomePage :24 - clicking on login or register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
2020-04-26 12:04:551 INFO  LoginPage :19 - Get Welcome Guest text [[ChromeDriver: chrome on WINDOWS (4544522243704456434531f677e6d155)] -> xpath: //li[@class='navbar-text myprofile_salutation']]
2020-04-26 12:04:731 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 12:04:681 INFO  HomePage :24 - clicking on login or register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
2020-04-26 12:04:702 INFO  LoginPage :33 - Get Welcome Guest text [[ChromeDriver: chrome on WINDOWS (721ef2af9eb31efcfd74c480a61b7bb7)] -> xpath: //li[@class='navbar-text myprofile_salutation']]
2020-04-26 12:04:318 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 12:04:419 INFO  HomePage :24 - clicking on login or register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
2020-04-26 13:04:160 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 13:04:114 INFO  HomePage :24 - clicking on login or register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
2020-04-26 13:04:134 INFO  LoginPage :33 - Get Welcome Guest text [[ChromeDriver: chrome on WINDOWS (2e61dee67c4fb8b4b1e8c1f7036aa633)] -> xpath: //li[@class='navbar-text myprofile_salutation']]
